height,weight
72.0,170.7
65.9,145.3
61.5,139.2
75.6,199.3
76.9,159.0
70.2,184.4
70.7,179.3
69.8,180.5
58.7,154.2
73.3,159.1
71.1,178.0
69.4,214.0
72.1,185.1
76.3,178.1
62.0,146.9
68.0,171.0
72.0,187.0
65.5,173.1
68.7,147.3
71.4,187.8
68.0,191.8
75.7,192.3
70.0,164.9
63.5,160.7
70.4,182.8
61.9,163.0
62.9,169.2
61.2,163.0
55.0,123.2
68.1,175.9
70.0,153.8
62.3,156.2
66.3,163.2
69.4,179.6
64.0,153.8
68.0,170.7
64.9,182.4
70.5,177.7
69.5,173.8
62.2,158.5
64.4,181.2
66.1,154.0
70.5,154.3
63.2,145.6
64.4,137.8
63.7,192.6
68.4,194.0
62.0,139.1
61.2,156.4
69.3,165.5
63.3,144.9
66.8,171.6
70.6,186.9
74.6,181.0
66.9,160.0
67.3,167.0
68.3,162.4
65.3,168.0
65.9,130.7
64.7,155.5
74.7,193.0
62.3,164.0
63.6,187.3
63.1,168.7
62.9,180.0
67.5,166.5
74.0,189.7
65.9,198.2
66.9,160.8
60.8,138.0
65.9,161.8
64.9,159.7
67.1,164.9
66.9,173.0
71.1,187.5
57.8,143.9
63.8,151.3
61.3,132.5
64.9,148.7
66.5,164.4
63.9,181.7
78.1,197.5
71.2,188.6
64.1,154.5
67.1,162.3
68.9,166.1
74.2,192.1
67.2,171.5
65.6,157.7
61.7,174.1
61.4,153.6
60.5,140.1
53.7,123.6
63.6,180.1
62.9,159.8
74.3,176.7
65.7,165.5
67.3,162.3
69.5,180.6
68.1,143.5
63.7,142.3
64.3,169.1
61.7,142.5
58.1,139.1
67.6,162.1
66.1,162.2
65.9,179.3
65.0,175.5
67.3,160.6
67.0,166.8
63.9,168.3
64.3,156.4
71.1,176.6
68.5,174.9
64.5,187.7
69.4,174.4
69.0,176.8
61.7,123.3
66.4,171.3
71.9,185.1
57.0,172.2
63.3,165.7
64.1,158.0
64.4,142.7
69.8,194.4
62.3,148.6
63.6,123.8
69.9,183.8
69.3,159.3
60.1,152.9
75.3,164.1
61.8,153.7
56.6,155.5
69.5,181.5
55.3,149.7
62.9,181.4
57.4,137.9
68.5,174.6
66.9,181.8
68.7,168.8
69.9,173.9
70.9,167.9
62.2,177.2
67.8,162.6
63.7,170.0
64.7,161.1
69.1,186.3
57.1,136.4
70.9,175.9
70.3,157.1
59.7,134.9
70.5,210.7
61.9,135.7
64.3,175.8
61.8,160.9
62.9,134.6
61.3,146.8
66.8,169.6
54.0,133.4
61.7,134.4
74.2,159.1
66.1,194.7
69.3,153.1
66.5,189.4
67.6,166.0
62.4,147.4
63.4,156.2
63.4,157.6
64.8,190.7
58.2,114.7
67.6,157.4
65.9,150.2
59.3,142.4
62.6,174.2
68.6,167.0
68.1,181.6
67.7,166.8
62.4,146.6
64.8,162.4
71.9,170.9
81.6,200.9
65.8,204.0
64.8,163.1
54.4,135.5
64.2,165.4
67.3,147.1
67.7,170.3
67.3,166.2
63.3,186.9
68.8,183.8
68.3,195.9
69.6,175.8
60.2,149.1
61.2,162.5
60.4,128.1
67.6,156.3
63.4,157.5
65.7,196.2
56.0,141.4
66.4,177.1
63.1,154.8
70.4,164.3
66.2,146.4
62.9,171.2
73.1,187.3
62.8,141.4
71.7,179.3
60.7,172.6
54.0,149.4
61.3,138.3
64.5,166.9
59.5,154.9
67.4,182.0
64.9,156.1
66.4,172.3
61.1,164.9
63.0,191.4
66.9,179.2
62.0,148.1
64.8,168.2
64.6,134.3
68.7,185.1
67.4,173.4
70.3,180.9
60.5,122.3
63.2,183.5
65.8,171.1
67.0,159.3
61.5,163.8
62.9,166.3
55.7,125.6
61.7,144.7
61.1,143.0
63.3,161.6
61.5,148.5
64.4,178.6
66.6,149.8
58.6,153.9
74.0,185.3
63.3,140.2
62.0,162.2
69.5,180.1
66.8,162.9
66.7,150.7
65.1,171.0
69.4,149.0
57.0,155.1
67.1,186.2
71.3,146.5
60.6,155.8
66.6,162.1
77.9,198.3
65.6,150.1
65.9,153.1
61.7,137.6
68.0,180.5
66.2,165.1
71.2,165.6
59.5,159.9
70.2,173.5
66.6,185.4
63.3,173.9
62.4,146.5
77.9,204.1
61.9,141.2
71.2,150.2
65.0,176.1
66.2,188.8
75.9,168.5
62.9,147.3
70.7,185.7
67.7,149.3
63.8,122.4
67.5,160.0
69.1,205.0
64.0,174.4
63.7,163.4
66.9,184.2
76.9,194.1
77.2,178.7
63.9,162.7
69.5,178.1
68.7,179.0
67.2,183.8
62.4,152.3
64.2,159.1
62.7,173.1
68.6,173.6
66.2,172.3
59.3,132.5
61.3,143.3
59.5,135.4
59.0,137.7
62.3,135.0
68.8,152.6
72.0,207.6
67.2,181.5
60.2,129.4
69.8,182.0
64.5,185.5
79.2,191.5
61.5,157.8
58.3,123.3
73.0,152.7
70.6,177.2
66.3,165.5
68.5,150.5
64.7,163.5
55.4,127.7
62.7,155.1
60.6,166.2
59.5,107.3
68.9,189.8
67.5,162.1
63.2,159.5
62.4,152.3
60.9,133.6
58.0,145.3
66.1,176.2
63.8,178.4
72.9,214.7
68.9,157.1
58.2,141.4
65.3,162.8
72.8,173.8
66.1,163.1
60.9,153.3
68.9,156.4
66.7,142.9
73.3,178.3
71.3,177.0
74.5,178.2
53.3,133.1
73.1,150.2
65.7,195.9
57.8,167.4
63.8,168.3
69.2,176.2
69.7,155.8
75.4,214.8
61.7,144.0
64.6,145.3
70.9,173.1
73.1,198.8
63.5,160.7
68.5,148.9
63.2,151.8
68.2,183.2
72.1,181.6
72.7,161.3
66.8,170.7
64.2,143.2
66.3,166.8
60.5,143.1
73.1,205.2
69.3,177.1
63.8,149.2
68.9,186.3
59.3,169.8
69.8,176.6
63.1,197.3
69.1,157.1
61.9,158.9
69.2,193.1
73.9,197.1
60.5,144.9
66.7,144.4
67.1,162.6
74.0,200.2
80.8,207.3
64.5,172.2
62.9,199.5
70.0,166.4
61.8,156.6
70.6,161.2
67.3,155.1
56.6,164.7
68.7,173.5
64.0,188.9
61.0,132.9
77.2,176.6
68.4,155.6
71.6,149.0
69.7,195.0
63.3,148.0
72.3,151.6
66.5,145.1
64.8,158.1
72.6,169.1
64.5,164.1
56.3,150.4
73.4,191.9
64.7,146.9
73.0,139.5
72.8,170.8
70.6,173.9
61.8,143.2
63.6,137.4
66.6,153.7
64.9,161.3
66.6,158.5
63.8,170.4
67.3,193.0
68.5,168.4
71.1,193.3
65.5,156.4
63.7,149.5
68.2,192.5
67.6,170.2
72.1,180.1
68.7,162.3
61.1,160.1
65.6,143.0
67.8,171.7
60.9,157.2
65.3,146.6
65.0,155.6
71.4,209.4
69.8,190.1
59.1,123.6
66.3,198.9
63.1,152.4
57.9,155.1
66.6,164.6
73.5,197.7
67.3,161.5
57.0,156.1
64.0,147.2
63.3,157.6
71.3,173.7
69.1,169.0
73.9,189.6
73.0,172.9
63.1,140.5
71.4,184.8
75.3,190.9
69.6,181.6
67.9,145.8
64.9,168.3
65.5,172.2
71.3,183.1
65.5,157.4
69.2,173.5
60.9,158.1
65.5,188.1
65.0,162.8
69.7,158.5
60.8,146.2
67.9,179.8
57.1,154.2
68.8,155.6
68.0,153.5
79.9,242.3
66.9,170.7
68.5,145.3
62.3,166.5
62.8,140.8
63.0,145.6
63.1,154.1
63.7,166.4
72.3,154.9
63.6,159.7
66.3,158.9
62.5,154.8
61.7,164.4
61.2,176.0
72.9,178.3
67.9,193.1
60.4,133.1
66.9,140.3
73.0,201.1
73.3,164.9
59.0,158.4
58.9,152.6
67.8,162.4
57.9,148.1
64.2,154.3
70.7,161.5
77.8,166.0
70.8,155.7
61.7,158.5
73.4,205.1
58.4,153.6
71.0,165.8
67.8,192.4
68.1,181.0
62.0,140.5
62.4,136.8
68.3,184.6
59.6,141.2
71.6,162.0
65.8,139.9
72.0,203.2
62.7,154.0
62.8,150.9
70.9,166.1
63.7,160.6
70.4,191.0
63.5,167.1
73.5,169.9
